molecule,peak_value,unit,rel_intensity,source
apigenin,112.7,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,163.0,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,207.2,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,222.1,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,224.5,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,259.0,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,281.3,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,313.6,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,346.9,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,363.3,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,373.5,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,393.3,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,415.5,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,445.3,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,461.4,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,465.6,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,481.2,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,495.0,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,536.2,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,563.3,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,583.2,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,595.3,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,603.6,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,617.1,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,630.4,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,642.3,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,666.8,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,691.9,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,724.8,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,736.9,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,814.4,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,821.0,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,823.4,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,836.6,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,844.4,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,849.7,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,863.4,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,906.7,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,913.1,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,920.4,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,991.5,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,1016.8,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,1047.9,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,1093.3,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,1109.9,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,1120.5,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,1136.8,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,1143.9,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,1156.5,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,1183.5,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,1211.6,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,1225.5,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,1239.5,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,1267.7,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,1275.7,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,1299.6,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,1331.3,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,1342.0,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,1371.8,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,1374.2,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,1422.3,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,1447.5,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,1462.4,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,1488.9,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,1560.7,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,1574.1,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,1579.0,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,1602.5,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
